Advance,Type,Cost
Weapon Skill,Characteristic,750
Ballistic Skill,Characteristic,200
Strength,Characteristic,200
Toughness,Characteristic,500
Agility,Characteristic,750
Intelligence,Characteristic,750
Perception,Characteristic,200
Willpower,Characteristic,500
Fellowship,Characteristic,500
Cleanse and Purify (-),Talent,500
Mighty Shot (-),Talent,200
Stalwart Defence (-),Talent,500
Exotic Weapon Training (Astartes Conversion Beamer),Talent,500
Exotic Weapon Training (Astartes Digital Flamer),Talent,500
Exotic Weapon Training (Astartes Digital Laser),Talent,500
Exotic Weapon Training (Astartes Digital Melta),Talent,500
Exotic Weapon Training (Astartes Sniper Rifle),Talent,500
